number_of_items,total_price,total_freight,number_of_payments,total_payment_value,purchase_hour,purchase_weekday,purchase_month,estimated_delivery_days,customer_state,distance_km
1.0,113.9,18.05,1.0,131.95,10,Monday,2017-06,24.56054398148148,RS,849.536721356855
1.0,39.99,16.11,1.0,56.1,10,Monday,2017-06,22.556145833333332,SP,837.989881923207
1.0,39.99,11.85,1.0,51.84,10,Monday,2017-06,20.551458333333333,SP,199.5993550236035
1.0,45.9,17.92,1.0,63.82,11,Monday,2017-06,22.52800925925926,ES,645.5705879938021
1.0,38.9,16.79,2.0,55.69,11,Monday,2017-06,28.526319444444443,BA,1054.724535716916
1.0,39.9,11.85,1.0,51.75,11,Monday,2017-06,20.520775462962963,SP,416.4891763852784
1.0,69.9,12.83,1.0,82.73,11,Monday,2017-06,20.515046296296298,SP,206.78157178584408
1.0,51.9,15.11,1.0,67.01,11,Monday,2017-06,23.511388888888888,RJ,680.8515168420047
1.0,14.99,7.78,1.0,22.77,11,Monday,2017-06,13.51085648148148,SP,94.25744391932574
1.0,129.99,18.16,1.0,148.15,11,Monday,2017-06,24.509120370370372,RS,1082.602151834466
1.0,89.9,7.88,1.0,97.78,11,Monday,2017-06,13.502789351851852,SP,86.23966904224822
1.0,39.99,15.1,1.0,55.09,11,Monday,2017-06,22.501585648148147,MG,394.76802526834064
1.0,51.99,15.11,1.0,67.1,12,Monday,2017-06,22.49431712962963,MG,208.27310145532803
1.0,50.0,15.1,1.0,65.1,12,Monday,2017-06,22.485590277777778,RJ,327.1510150503245
1.0,55.9,35.71,3.0,91.61,12,Monday,2017-06,30.484502314814815,PE,1895.398888140726
1.0,59.55,16.18,1.0,75.73,12,Monday,2017-06,22.472407407407406,PR,213.57530744191243
1.0,35.99,15.11,1.0,51.1,12,Monday,2017-06,31.470949074074074,RS,916.7811121032956
1.0,69.9,16.25,1.0,86.15,12,Monday,2017-06,24.462534722222223,RS,864.7938428180079
1.0,61.9,9.54,1.0,71.44,12,Monday,2017-06,13.462407407407408,RJ,55.28249562408212
1.0,46.9,14.1,1.0,61.0,12,Monday,2017-06,22.45974537037037,SP,475.4651480002043
1.0,199.99,16.15,1.0,216.14,13,Monday,2017-06,28.451550925925925,RJ,686.1979893785851
2.0,34.0,23.7,1.0,57.7,13,Monday,2017-06,20.449583333333333,SP,177.3438447393927
1.0,105.99,21.23,1.0,127.22,13,Monday,2017-06,22.44758101851852,SC,439.8104807314946
1.0,97.44,17.12,1.0,114.56,13,Monday,2017-06,24.446550925925926,RJ,817.0844546226089
1.0,225.0,16.32,1.0,241.32,13,Monday,2017-06,24.44215277777778,MG,947.5715344734955
1.0,52.88,25.21,2.0,78.09,13,Monday,2017-06,22.441134259259258,PR,658.1674103477642
1.0,1199.9,24.97,1.0,1224.87,13,Monday,2017-06,24.432719907407407,SP,844.0425582557367
1.0,119.9,27.16,1.0,147.06,13,Monday,2017-06,57.43061342592593,SP,467.635791613883
1.0,79.9,25.84,1.0,105.74,13,Monday,2017-06,34.430034722222224,CE,2387.352299256753
1.0,178.5,15.0,1.0,193.5,13,Monday,2017-06,23.421666666666667,MG,463.31188438690066
1.0,59.99,16.67,1.0,76.66,13,Monday,2017-06,22.420347222222222,RJ,366.09617079186097
1.0,104.0,15.48,1.0,119.48,14,Monday,2017-06,22.416608796296295,SP,484.5864421573696
1.0,139.9,17.42,1.0,157.32,14,Monday,2017-06,31.412685185185186,MT,1616.0187505921015
1.0,167.99,27.72,1.0,195.71,14,Monday,2017-06,28.405636574074073,MG,991.0844235498331
1.0,39.9,9.34,1.0,49.24,14,Monday,2017-06,13.40236111111111,SP,53.89433722040738
3.0,119.7,45.3,1.0,165.0,14,Monday,2017-06,23.398831018518518,SC,359.1712866279778
1.0,24.9,8.27,2.0,33.17,14,Monday,2017-06,13.395833333333334,SP,38.60298008272824
1.0,79.0,17.8,1.0,96.8,14,Monday,2017-06,22.38309027777778,RJ,366.1668904584607
1.0,49.9,8.72,1.0,58.62,15,Monday,2017-06,13.374872685185185,SP,137.00052487266464
1.0,99.99,16.95,1.0,116.94,15,Monday,2017-06,22.373159722222223,RJ,343.8177138198423
2.0,31.98,15.56,1.0,47.54,15,Monday,2017-06,20.368171296296296,SP,68.92757633736512
1.0,47.99,16.11,1.0,64.1,15,Monday,2017-06,29.366296296296298,SC,442.488540378811
1.0,56.99,15.15,1.0,72.14,15,Monday,2017-06,23.365925925925925,SC,480.20884100599176
1.0,99.99,16.46,1.0,116.45,15,Monday,2017-06,22.36324074074074,SP,404.99174127158756
1.0,79.9,7.81,1.0,87.71,15,Monday,2017-06,13.353564814814815,SP,16.23132627465199
1.0,50.9,11.86,1.0,62.76,15,Monday,2017-06,20.352002314814815,SP,72.62697590201688
1.0,167.99,16.94,1.0,184.93,15,Monday,2017-06,22.338993055555555,SP,679.4497363145152
1.0,114.9,12.3,1.0,127.2,15,Monday,2017-06,20.338310185185186,SP,339.8531160927389
2.0,39.98,24.7,1.0,64.68,15,Monday,2017-06,20.338032407407407,RJ,72.34958799265073
1.0,492.04,15.78,1.0,507.82,15,Monday,2017-06,20.335775462962964,SP,88.3580251769555
1.0,75.0,7.78,1.0,82.78,16,Monday,2017-06,13.332708333333333,SP,100.21406810974861
1.0,113.9,18.05,1.0,131.95,16,Monday,2017-06,22.3325,RJ,571.7689083545181
1.0,19.99,7.78,1.0,27.77,16,Monday,2017-06,16.329814814814814,SP,19.396948090737887
1.0,44.35,13.37,1.0,57.72,16,Monday,2017-06,20.326273148148147,SP,297.9836592164764
1.0,16.5,7.78,1.0,24.28,16,Monday,2017-06,13.316631944444444,SP,5.457526354138306
1.0,109.9,15.52,1.0,125.42,16,Monday,2017-06,29.314039351851854,SP,419.71362326287675
1.0,629.0,82.57,1.0,711.57,16,Monday,2017-06,23.31127314814815,SC,548.6161081393375
1.0,109.9,14.52,1.0,124.42,16,Monday,2017-06,22.309178240740742,MG,491.9036891520207
1.0,239.9,13.18,1.0,253.08,16,Monday,2017-06,23.307094907407407,SP,396.54663015637396
1.0,94.9,12.16,1.0,107.06,16,Monday,2017-06,20.304733796296297,SP,180.38244319761654
1.0,269.9,14.91,1.0,284.81,16,Monday,2017-06,20.298784722222223,SP,163.887114521189
1.0,45.0,25.38,1.0,70.38,16,Monday,2017-06,36.29878472222222,RR,3301.782182013667
1.0,75.0,12.03,1.0,87.03,16,Monday,2017-06,23.295949074074073,SP,301.0742548789268
1.0,15.9,7.78,1.0,23.68,16,Monday,2017-06,13.295289351851851,SP,5.454574767747958
2.0,279.8,42.76,1.0,322.56,16,Monday,2017-06,24.291840277777776,RS,500.05036057933563
1.0,89.9,12.13,1.0,102.03,17,Monday,2017-06,21.287592592592592,SP,301.4068711654328
2.0,179.8,30.76,1.0,210.56,17,Monday,2017-06,23.283645833333335,SC,720.0977327853491
1.0,89.9,15.38,1.0,105.28,17,Monday,2017-06,23.281805555555554,RJ,652.0745624969901
1.0,176.9,10.65,1.0,187.55,17,Monday,2017-06,13.273888888888889,SP,94.93738133940093
1.0,109.99,13.79,1.0,123.78,17,Monday,2017-06,20.267476851851853,SP,562.2643158163665
1.0,143.0,15.75,1.0,158.75,17,Monday,2017-06,29.254178240740742,GO,569.2516646910047
1.0,109.99,21.26,1.0,131.25,17,Monday,2017-06,28.254166666666666,GO,569.2516646910047
1.0,74.9,19.76,2.0,94.66,18,Monday,2017-06,30.244351851851853,BA,1526.9739122099606
1.0,109.9,16.53,1.0,126.43,18,Monday,2017-06,24.236064814814814,RS,879.0543729937003
1.0,79.9,18.8,1.0,98.7,18,Monday,2017-06,30.233483796296298,SP,846.9294446858619
1.0,516.59,15.96,1.0,532.55,18,Monday,2017-06,20.225011574074074,SP,309.8027219004746
1.0,71.0,9.34,1.0,80.34,18,Monday,2017-06,20.219386574074075,SP,97.12431736652749
1.0,74.9,21.01,1.0,95.91,18,Monday,2017-06,24.21710648148148,RS,823.8823958046783
1.0,399.99,23.6,1.0,423.59,18,Monday,2017-06,30.21295138888889,SP,1453.3005254749899
1.0,89.9,25.91,2.0,115.81,19,Monday,2017-06,35.20112268518518,PE,2127.5464726275945
1.0,99.0,15.44,1.0,114.44,19,Monday,2017-06,22.19758101851852,SC,402.770395643169
1.0,89.9,12.13,1.0,102.03,19,Monday,2017-06,21.19431712962963,SP,303.75496179566085
1.0,59.9,16.18,1.0,76.08,19,Monday,2017-06,28.19295138888889,GO,547.4928660186323
1.0,59.9,13.44,1.0,73.34,19,Monday,2017-06,27.185868055555556,SP,412.66543952970204
1.0,2649.0,32.29,1.0,2681.29,19,Monday,2017-06,22.181284722222223,SP,372.41399326371794
1.0,169.9,19.43,1.0,189.33,19,Monday,2017-06,28.178148148148146,RJ,676.9331181890717
1.0,129.9,21.71,1.0,151.61,19,Monday,2017-06,38.17805555555555,PI,2006.0437327673355
1.0,167.92,15.93,1.0,183.85,19,Monday,2017-06,22.174293981481483,MG,407.6765864665934
1.0,209.9,35.99,1.0,245.89,19,Monday,2017-06,24.172835648148148,RJ,1142.7806078267588
1.0,16.9,12.6,1.0,29.5,20,Monday,2017-06,22.138090277777778,DF,160.05898136674432
1.0,25.0,15.1,1.0,40.1,20,Monday,2017-06,22.134166666666665,SC,436.4678797563911
1.0,113.0,13.81,1.0,126.81,20,Monday,2017-06,21.132372685185185,SP,271.5718739784938
1.0,2999.89,48.38,1.0,3048.27,20,Monday,2017-06,30.13016203703704,BA,1085.0298784384638
1.0,590.82,19.9,1.0,610.72,21,Monday,2017-06,22.124050925925925,PR,430.09492341795885
1.0,18.99,14.1,1.0,33.09,21,Monday,2017-06,24.120358796296298,ES,733.7542467270774
1.0,18.99,11.85,1.0,30.84,21,Monday,2017-06,20.11755787037037,SP,312.81830373305127
1.0,115.0,16.57,1.0,131.57,21,Monday,2017-06,23.1159375,RJ,556.0302016909241
1.0,18.99,15.1,1.0,34.09,21,Monday,2017-06,22.115266203703705,MG,712.8108093527752
1.0,89.9,15.38,1.0,105.28,21,Monday,2017-06,27.114675925925926,RS,1205.2522136766095
1.0,167.99,36.5,1.0,204.49,21,Monday,2017-06,30.109826388888887,GO,1101.8334998919197
1.0,16.17,15.1,1.0,31.27,21,Monday,2017-06,22.10744212962963,MG,532.3634912240725
1.0,35.99,9.34,1.0,45.33,21,Monday,2017-06,20.106238425925927,SP,26.934388873463774
1.0,84.99,15.34,1.0,100.33,21,Monday,2017-06,24.10232638888889,PR,784.9617226602669
1.0,45.95,11.85,1.0,57.8,21,Monday,2017-06,23.09346064814815,SP,127.38327999821246
1.0,329.9,57.59,1.0,387.49,21,Monday,2017-06,22.092083333333335,SP,342.32766407902704
1.0,547.9,23.08,1.0,570.98,21,Monday,2017-06,29.090810185185184,SP,963.3928672869874
1.0,95.0,15.42,1.0,110.42,21,Monday,2017-06,22.083564814814814,RJ,326.205439160272
1.0,49.99,12.69,1.0,62.68,22,Monday,2017-06,20.081736111111113,SP,448.8167820595034
1.0,56.99,7.78,1.0,64.77,22,Monday,2017-06,16.06921296296296,SP,45.965599196317186
1.0,99.99,15.46,1.0,115.45,22,Monday,2017-06,22.06460648148148,RJ,304.5661230221305
1.0,49.0,11.85,1.0,60.85,22,Monday,2017-06,20.057349537037037,SP,593.0134188136616
1.0,129.0,31.65,1.0,160.65,22,Monday,2017-06,22.056909722222223,SP,428.407439389951
1.0,599.0,20.93,1.0,619.93,22,Monday,2017-06,20.05633101851852,SP,78.46190639317206
1.0,79.9,34.72,1.0,114.62,22,Monday,2017-06,13.054386574074075,SP,4.638056029516355
1.0,14.0,8.72,1.0,22.72,22,Monday,2017-06,13.053020833333333,SP,115.65173617816717
1.0,109.9,25.32,1.0,135.22,22,Monday,2017-06,30.045497685185186,DF,1599.9070271263665
1.0,69.0,8.11,1.0,77.11,22,Monday,2017-06,13.041793981481481,MG,42.66222116822069
1.0,51.99,14.11,1.0,66.1,23,Monday,2017-06,22.037685185185186,SP,352.0576355756345
2.0,37.98,30.2,1.0,68.18,23,Monday,2017-06,24.03679398148148,DF,647.3079444192356
1.0,120.7,16.6,1.0,137.3,23,Monday,2017-06,28.029814814814817,RS,857.3010095251016
2.0,642.0,101.56,1.0,743.56,23,Monday,2017-06,22.023298611111112,SP,409.53145113495816
1.0,139.99,27.52,1.0,167.51,23,Monday,2017-06,34.0184375,PA,2293.4871748307905
4.0,174.7,15.17,1.0,189.86,23,Monday,2017-06,22.002094907407407,RJ,396.54612709674853
1.0,16.5,7.78,1.0,24.28,0,Tuesday,2017-06,13.992256944444444,SP,5.395218972572413
1.0,12.99,7.78,1.0,20.77,0,Tuesday,2017-06,13.965381944444445,SP,97.82670852817664
2.0,59.8,28.2,1.0,88.0,2,Tuesday,2017-06,29.882175925925925,RJ,323.17676085108224
1.0,26.0,9.94,1.0,35.94,4,Tuesday,2017-06,13.829328703703704,SP,60.51678358007879
1.0,29.9,8.27,1.0,38.17,4,Tuesday,2017-06,13.813958333333334,RJ,35.29408200816589
1.0,175.91,10.65,1.0,186.56,8,Tuesday,2017-06,13.6475,SP,86.93280723634577
1.0,74.99,16.77,1.0,91.76,8,Tuesday,2017-06,26.640798611111112,MG,451.02960455187093
1.0,379.9,13.86,1.0,393.76,8,Tuesday,2017-06,13.640625,SP,11.35231009861536
1.0,99.0,21.09,1.0,120.09,9,Tuesday,2017-06,29.613506944444445,MS,1112.3229174370272
1.0,34.9,17.6,2.0,52.5,9,Tuesday,2017-06,28.608136574074074,SP,303.5667768330276
1.0,34.99,15.1,1.0,50.09,9,Tuesday,2017-06,26.605474537037036,SC,368.78788412031685
1.0,67.9,14.23,1.0,82.13,9,Tuesday,2017-06,23.59982638888889,SP,354.92299447785524
1.0,29.0,21.15,1.0,50.15,10,Tuesday,2017-06,30.5809375,AL,1951.7602758620908
1.0,34.9,11.85,1.0,46.75,10,Tuesday,2017-06,20.570069444444446,SP,204.08792234049992
1.0,59.99,16.05,1.0,76.04,10,Tuesday,2017-06,20.566747685185184,SP,127.46181388809028
1.0,11.99,7.78,1.0,19.77,10,Tuesday,2017-06,13.558287037037037,SP,73.97371203804859
1.0,42.99,25.63,1.0,68.62,10,Tuesday,2017-06,34.55773148148148,PA,2492.3493434950105
1.0,219.0,30.56,1.0,249.56,10,Tuesday,2017-06,26.55357638888889,RJ,341.6800830436438
1.0,48.9,15.1,1.0,64.0,10,Tuesday,2017-06,28.54429398148148,RJ,710.1278233503227
1.0,69.9,11.99,1.0,81.89,10,Tuesday,2017-06,20.544143518518517,SP,139.69066095902363
1.0,56.99,14.15,1.0,71.14,11,Tuesday,2017-06,27.528807870370372,RS,848.8196560870047
1.0,18.9,11.85,1.0,30.75,11,Tuesday,2017-06,20.525011574074075,SP,136.56747458207434
1.0,17.5,15.1,1.0,32.6,11,Tuesday,2017-06,36.52280092592593,MG,549.8487307768245
2.0,96.8,69.83,1.0,166.63,11,Tuesday,2017-06,50.52216435185185,RO,2008.7501564767538
1.0,18.9,25.63,1.0,44.53,11,Tuesday,2017-06,48.51510416666667,PE,1829.4132654866307
1.0,115.0,54.48,1.0,169.48,11,Tuesday,2017-06,36.51372685185185,CE,2464.2420323769707
1.0,80.0,16.32,1.0,96.32,11,Tuesday,2017-06,23.505,SC,381.5782839763578
1.0,19.9,7.78,1.0,27.68,11,Tuesday,2017-06,13.504722222222222,SP,23.467398031634847
1.0,73.35,12.85,1.0,86.2,12,Tuesday,2017-06,20.49025462962963,SP,221.63570328469487
1.0,12.5,7.78,1.0,20.28,12,Tuesday,2017-06,20.483703703703704,SP,1.1848986102341452
1.0,199.9,18.11,1.0,218.01,12,Tuesday,2017-06,20.479583333333334,SP,137.08876548783968
1.0,629.0,67.08,1.0,696.08,12,Tuesday,2017-06,30.475775462962964,MG,1195.1825279663794
1.0,59.99,7.78,1.0,67.77,12,Tuesday,2017-06,14.475543981481481,SP,16.742018131702892
1.0,17.33,11.85,1.0,29.18,12,Tuesday,2017-06,20.473125,SP,79.82316285181032
1.0,119.99,17.09,1.0,137.08,12,Tuesday,2017-06,22.470381944444444,RJ,337.7911745604534
1.0,158.0,18.36,1.0,176.36,12,Tuesday,2017-06,23.462280092592593,RJ,493.5249290584882
1.0,37.9,15.1,1.0,53.0,13,Tuesday,2017-06,22.45314814814815,MG,691.480949892475
1.0,22.48,19.59,1.0,42.07,13,Tuesday,2017-06,35.450520833333336,PR,788.1000023475327
1.0,89.5,11.83,1.0,101.33,13,Tuesday,2017-06,13.445949074074074,SP,7.922324012408345
1.0,39.9,15.1,1.0,55.0,13,Tuesday,2017-06,22.438969907407408,SC,505.670558576945
1.0,295.8,83.93,1.0,379.73,13,Tuesday,2017-06,28.434131944444445,SC,824.1015362549732
1.0,29.99,11.85,1.0,41.84,13,Tuesday,2017-06,20.43363425925926,SP,157.40510600600138
2.0,49.8,30.2,1.0,80.0,13,Tuesday,2017-06,26.431041666666665,DF,769.2790217727637
1.0,219.99,9.73,1.0,229.72,13,Tuesday,2017-06,13.42863425925926,SP,10.572347488093909
2.0,99.9,30.2,1.0,130.1,13,Tuesday,2017-06,27.42559027777778,MG,552.3142954962732
1.0,149.9,8.79,1.0,158.69,13,Tuesday,2017-06,13.416759259259258,SP,85.70208311571406
1.0,69.99,11.73,1.0,81.72,14,Tuesday,2017-06,13.415636574074075,SP,12.604870009537525
1.0,24.9,16.79,1.0,41.69,14,Tuesday,2017-06,28.401527777777776,SC,870.301994754471
1.0,85.9,16.36,1.0,102.26,14,Tuesday,2017-06,22.401145833333334,RJ,417.11256173929775
1.0,201.99,15.02,1.0,217.01,14,Tuesday,2017-06,13.396493055555556,SP,10.431146149429088
1.0,73.35,12.85,1.0,86.2,14,Tuesday,2017-06,20.386712962962964,SP,295.23079933680054
1.0,37.9,15.1,1.0,53.0,14,Tuesday,2017-06,26.38603009259259,PR,695.2063733377685
1.0,229.99,18.86,1.0,248.85,14,Tuesday,2017-06,22.38334490740741,PR,332.592700345166
1.0,50.9,15.11,1.0,66.01,14,Tuesday,2017-06,22.379108796296297,MG,391.5008455204011
1.0,159.9,18.37,1.0,178.27,14,Tuesday,2017-06,22.378645833333334,SC,501.74934717260794
1.0,59.9,21.26,1.0,81.16,15,Tuesday,2017-06,22.374270833333334,SP,344.9964687758687
1.0,16.9,11.85,2.0,30.3,15,Tuesday,2017-06,27.3615625,SP,587.3849653285441
1.0,99.99,16.46,1.0,116.45,15,Tuesday,2017-06,22.357430555555556,RJ,559.1396111625777
1.0,36.9,16.11,1.0,53.01,15,Tuesday,2017-06,26.356944444444444,RS,754.3416611844752
1.0,17.99,11.85,1.0,29.84,15,Tuesday,2017-06,20.3525,SP,406.72889448504094
1.0,225.0,18.28,1.0,243.28,15,Tuesday,2017-06,22.340625,SP,104.28113746002683
1.0,25.9,9.27,1.0,35.17,15,Tuesday,2017-06,13.337939814814815,SP,82.65776674410384
1.0,59.99,15.24,1.0,75.23,15,Tuesday,2017-06,29.33628472222222,SP,378.4653486597978
1.0,166.99,61.91,1.0,228.9,15,Tuesday,2017-06,22.335474537037037,RJ,556.8498910170194
1.0,179.99,9.45,1.0,189.44,16,Tuesday,2017-06,13.332291666666666,SP,25.00765978602524
1.0,24.9,9.34,1.0,34.24,16,Tuesday,2017-06,13.32476851851852,SP,40.52586212094551
1.0,279.9,13.46,1.0,293.36,16,Tuesday,2017-06,20.32091435185185,SP,84.3293235360933
1.0,241.1,31.53,1.0,272.63,16,Tuesday,2017-06,22.320127314814815,MG,483.42774955328855
2.0,44.49,28.47,1.0,72.96,16,Tuesday,2017-06,22.316076388888888,MG,396.81537788349027
1.0,269.99,32.19,1.0,302.18,16,Tuesday,2017-06,21.310625,SP,24.38569567963555
2.0,80.0,15.56,1.0,95.56,17,Tuesday,2017-06,13.291458333333333,SP,83.88035991220066
1.0,59.9,16.86,1.0,76.76,17,Tuesday,2017-06,26.287789351851853,MG,574.1522500896424
1.0,117.3,25.66,1.0,142.96,17,Tuesday,2017-06,22.26297453703704,MG,929.6630773161625
1.0,159.9,20.68,1.0,180.58,17,Tuesday,2017-06,26.259965277777777,SP,362.62215210774684
1.0,109.99,38.29,1.0,148.28,17,Tuesday,2017-06,28.259398148148147,SC,789.7256127447373
1.0,49.0,15.79,1.0,64.79,17,Tuesday,2017-06,30.25547453703704,BA,1469.220123337647
1.0,15.9,34.15,1.0,50.05,17,Tuesday,2017-06,41.2500462962963,MA,2436.6813114434117
1.0,89.9,17.88,1.0,107.78,18,Tuesday,2017-06,23.244074074074074,RJ,552.8776845212825
4.0,399.6,48.8,1.0,448.4,18,Tuesday,2017-06,20.24332175925926,SP,69.14577078943307
4.0,75.6,60.4,1.0,136.0,18,Tuesday,2017-06,40.24283564814815,DF,
1.0,41.99,15.98,1.0,57.97,18,Tuesday,2017-06,21.236006944444444,SP,288.4573263854169
2.0,384.9,35.16,1.0,420.06,18,Tuesday,2017-06,13.2346875,SP,85.25503703031085
1.0,42.99,15.1,1.0,58.09,18,Tuesday,2017-06,26.2196875,ES,755.9346265065185
1.0,99.0,16.45,1.0,115.45,18,Tuesday,2017-06,22.213449074074074,PR,469.9054664469391
2.0,49.96,25.2,1.0,75.16,18,Tuesday,2017-06,20.20900462962963,SC,89.76402322141139
1.0,58.9,12.75,1.0,71.65,19,Tuesday,2017-06,20.20634259259259,SP,96.18052534331451
1.0,269.0,16.64,1.0,285.64,19,Tuesday,2017-06,22.18769675925926,PR,339.07989740852565
1.0,229.9,50.56,1.0,280.46,19,Tuesday,2017-06,20.182349537037037,SP,356.525556451122
1.0,49.9,11.85,1.0,61.75,19,Tuesday,2017-06,20.17761574074074,SP,173.88189198199032
1.0,49.5,17.6,1.0,67.1,19,Tuesday,2017-06,22.175787037037036,RJ,550.3577102035769
1.0,299.99,17.86,1.0,317.85,19,Tuesday,2017-06,26.17420138888889,MG,380.8368854988668
1.0,59.9,17.67,1.0,77.57,19,Tuesday,2017-06,22.17050925925926,RJ,286.6945858530892
1.0,139.9,20.38,1.0,160.28,20,Tuesday,2017-06,26.15077546296296,SP,352.3238608333387
1.0,15.9,12.69,1.0,28.59,20,Tuesday,2017-06,21.14824074074074,SP,45.507998861315336
2.0,27.0,50.38,1.0,77.38,20,Tuesday,2017-06,22.145972222222223,SP,402.0684234503581
1.0,75.9,15.28,1.0,91.18,20,Tuesday,2017-06,29.14244212962963,SP,557.5037215922196
1.0,44.0,15.1,1.0,59.1,20,Tuesday,2017-06,22.141203703703702,PR,690.2294457786611
1.0,168.99,13.74,1.0,182.73,20,Tuesday,2017-06,13.136956018518518,SP,79.17882866907146
1.0,49.9,12.69,1.0,62.59,20,Tuesday,2017-06,20.13349537037037,SP,302.74346622994346
1.0,169.9,8.77,1.0,178.67,20,Tuesday,2017-06,13.127164351851851,SP,156.4171757318736
1.0,45.95,15.1,1.0,61.05,21,Tuesday,2017-06,27.108067129629628,RJ,620.5559961701199
1.0,99.9,13.72,1.0,113.62,21,Tuesday,2017-06,20.10738425925926,SP,150.61278380526082
1.0,229.99,24.48,1.0,254.47,21,Tuesday,2017-06,30.10383101851852,BA,1388.2097563768252
1.0,69.9,16.25,1.0,86.15,21,Tuesday,2017-06,26.102893518518517,RS,767.3274132191796
1.0,219.99,16.29,1.0,236.28,21,Tuesday,2017-06,28.102893518518517,RS,710.0124509265574
1.0,41.99,15.98,1.0,57.97,21,Tuesday,2017-06,21.102013888888887,SP,288.4573263854169
1.0,78.1,15.31,1.0,93.41,21,Tuesday,2017-06,26.097094907407406,PR,336.61138703541513
1.0,39.9,15.1,1.0,55.0,21,Tuesday,2017-06,23.097083333333334,PR,516.8636818522593
1.0,11.99,25.63,1.0,37.62,21,Tuesday,2017-06,34.09663194444445,CE,2139.2046027360025
1.0,129.9,16.54,1.0,146.44,21,Tuesday,2017-06,20.09082175925926,SP,151.77342890684176
2.0,79.98,39.18,1.0,119.16,22,Tuesday,2017-06,22.08079861111111,ES,590.7233907722295
1.0,99.99,9.51,1.0,109.5,22,Tuesday,2017-06,13.079513888888888,SP,14.82345037819596
1.0,31.9,16.79,1.0,48.69,22,Tuesday,2017-06,28.078449074074076,BA,751.5995697529178
1.0,27.55,8.27,1.0,35.82,22,Tuesday,2017-06,13.066446759259259,SP,44.94807390579858
3.0,225.2,36.08,1.0,261.28,22,Tuesday,2017-06,48.06420138888889,SP,255.8635189603495
1.0,99.9,12.65,1.0,112.55,22,Tuesday,2017-06,13.05386574074074,PR,3.9982381049589817
1.0,499.99,19.75,1.0,519.74,22,Tuesday,2017-06,22.046967592592594,MG,467.2363984422246
1.0,248.25,19.31,1.0,267.56,22,Tuesday,2017-06,41.04569444444444,PR,546.8058010834316
1.0,99.0,38.53,1.0,137.53,23,Tuesday,2017-06,22.036064814814814,MG,661.6873613226425
1.0,34.99,14.1,1.0,49.09,23,Tuesday,2017-06,26.035243055555554,MG,477.63282070134744
1.0,59.99,14.2,1.0,74.19,23,Tuesday,2017-06,23.035219907407406,MG,477.63282070134744
1.0,99.0,9.51,1.0,108.51,23,Tuesday,2017-06,13.029050925925926,SP,41.12460210667484
1.0,109.9,14.52,1.0,124.42,23,Tuesday,2017-06,29.027083333333334,SP,488.3344742869917
1.0,199.99,17.65,1.0,217.64,23,Tuesday,2017-06,22.02484953703704,RJ,360.4969468947159
1.0,113.9,12.3,1.0,126.2,23,Tuesday,2017-06,20.023865740740742,SP,144.5511962280297
1.0,19.9,15.1,1.0,35.0,23,Tuesday,2017-06,26.01915509259259,RS,751.0790009706404
1.0,31.9,8.11,1.0,40.01,23,Tuesday,2017-06,13.017476851851852,MG,17.184774551606292
1.0,82.99,17.83,1.0,100.82,23,Tuesday,2017-06,28.008993055555557,DF,664.5798115553187
1.0,159.99,40.45,1.0,200.44,0,Wednesday,2017-06,22.98664351851852,RJ,322.8096026852529
1.0,28.99,7.78,1.0,36.77,1,Wednesday,2017-06,13.950462962962963,SP,18.366570272123333
3.0,185.99,69.17,1.0,255.16,2,Wednesday,2017-06,33.87954861111111,RS,818.5387485819411
1.0,22.9,16.79,1.0,39.69,4,Wednesday,2017-06,26.796319444444446,SC,1005.9324507046168
1.0,516.59,19.38,1.0,535.97,7,Wednesday,2017-06,22.705266203703705,RJ,495.2729912544231
1.0,28.9,11.85,1.0,40.75,7,Wednesday,2017-06,34.68773148148148,SP,298.62987972110517
1.0,299.9,22.94,1.0,322.84,7,Wednesday,2017-06,26.683298611111113,SP,346.41695190683714
1.0,48.9,37.9,1.0,86.8,7,Wednesday,2017-06,32.66795138888889,PA,2465.9340507073953
1.0,139.9,21.47,1.0,161.37,8,Wednesday,2017-06,22.63349537037037,RS,567.3096141468837
1.0,24.98,15.1,1.0,40.08,9,Wednesday,2017-06,22.624861111111112,SP,489.14634146236136
1.0,149.0,15.79,1.0,164.79,9,Wednesday,2017-06,22.62449074074074,RJ,532.5604547234086
1.0,118.99,25.14,1.0,144.13,9,Wednesday,2017-06,22.616550925925925,MG,167.68813111230764
1.0,119.95,33.29,1.0,153.24,9,Wednesday,2017-06,34.616087962962965,PE,2020.4127629730651
1.0,23.7,7.78,1.0,31.48,9,Wednesday,2017-06,13.615393518518518,SP,8.66943769415071
1.0,110.0,67.64,1.0,177.64,9,Wednesday,2017-06,20.61224537037037,SP,206.71570769491467
1.0,109.9,18.34,1.0,128.24,9,Wednesday,2017-06,28.60591435185185,BA,1217.8048761734858
1.0,269.9,96.7,2.0,366.6,9,Wednesday,2017-06,35.6028125,RO,2356.703738079505
1.0,27.4,11.85,1.0,39.25,9,Wednesday,2017-06,34.60113425925926,SP,247.48998174006994
1.0,50.0,37.9,1.0,87.9,9,Wednesday,2017-06,40.597430555555555,PB,2047.3585049104356
1.0,88.6,29.02,1.0,117.62,9,Wednesday,2017-06,34.58377314814815,PA,2490.3999601807054
1.0,149.0,38.59,1.0,187.59,9,Wednesday,2017-06,33.58354166666667,SE,1710.282988186438
